Time,AAPL,MSFT,IBM,GOOGL,AMZN
1163491200,12.1429,29.2285,93.29,247.1674,41.51
1163577600,12.0071,29.12,93.11,248.4959,42.6
1163664000,12.23,29.47,93.47,250.5014,42.84
1163750400,12.2643,29.4,93.81,251.9612,42.55
1164009600,12.3529,29.89,93.25,250.072,42.44
1164096000,12.6571,29.92,93.08,257.4471,42.54
1164182400,12.9014,29.92,93.52,256.6187,42.96
1164355200,13.09,29.76,93.35,255.0982,42.41
1164614400,12.7914,29.48,91.45,244.869,40.85
1164700800,13.1157,29.39,91.35,247.2684,40.92
1164787200,13.1143,29.57,91.52,244.8185,40.63
1164873600,13.0943,29.36,91.92,244.8993,40.34
1164960000,13.0457,29.12,91.25,242.8737,39.41
1165219200,13.0171,29.33,93.51,244.9195,39.1
1165305600,13.0386,29.13,94.48,246.0056,38.98
1165392000,12.8329,28.99,94.12,246.8694,38.9
1165478400,12.4343,28.85,94.23,243.8031,38.12
1165564800,12.6086,29.4,93.86,244.5457,38.46
1165824000,12.6786,29.54,93.64,244.4548,38.69
1165910400,12.3057,29.43,94.12,243.3687,38.46
1165996800,12.7214,29.55,94.77,241.9594,38.5
1166083200,12.65,30.07,95.36,243.5405,39.02
1166169600,12.5314,30.19,95.3,242.6211,40.01
1166428800,12.21,29.89,95.44,233.7811,39.26
1166515200,12.33,29.99,96.0,236.7261,39.42
1166601600,12.1086,30.09,96.0,233.8316,40.01
1166688000,11.8429,29.98,95.91,230.4471,39.89
1166774400,11.7429,29.64,95.25,230.1339,40.24
1167120000,11.6443,29.99,95.66,231.1189,39.8
1167206400,11.6457,30.02,97.2,236.423,40.29
1167292800,11.5529,29.98,96.97,233.6598,40.21
1167379200,12.12,29.86,97.15,232.6091,39.46
1167811200,11.9714,29.86,97.27,236.2007,38.7
1167897600,12.2371,29.81,98.31,244.1163,38.9
1167984000,12.15,29.64,97.42,246.1015,38.37
1168243200,12.21,29.93,98.9,244.278,37.5
1168329600,13.2243,29.96,100.07,245.2478,37.78
1168416000,13.8571,29.66,98.89,247.2482,37.15
1168502400,13.6857,30.7,98.65,252.431,37.4
1168588800,13.5171,31.21,99.34,255.0982,38.2
1168934400,13.8714,31.16,100.82,254.7345,38.66
1169020800,13.5643,31.1,100.02,251.1985,37.88
1169107200,12.7243,31.0,99.45,246.4248,36.98
1169193600,12.6429,31.11,96.17,247.3947,37.02
1169452800,12.3986,30.72,97.11,242.8939,36.95
1169539200,12.2429,30.74,97.08,241.9897,36.43
1169625600,12.3857,31.09,97.4,252.1027,37.26
1169712000,12.3214,30.45,97.51,246.5562,37.08
1169798400,12.1971,30.6,97.45,250.471,36.85
1170057600,12.2771,30.53,98.54,248.7687,37.43
1170144000,12.2214,30.48,99.37,249.7032,37.05
1170230400,12.2471,30.86,99.15,253.3302,37.67
1170316800,12.1057,30.56,99.0,243.3536,38.7
1170403200,12.1071,30.19,99.17,243.2273,37.39
1170662400,11.9914,29.61,100.38,235.9835,37.16
1170748800,12.0214,29.51,99.85,238.1657,38.27
1170835200,12.3071,29.37,99.54,237.4232,38.98
1170921600,12.3114,29.26,99.62,237.9384,39.1
1171008000,11.8957,28.98,98.55,233.3214,38.72
1171267200,12.1257,28.94,98.58,231.5029,38.85
1171353600,12.1,29.01,98.29,231.912,39.31
1171440000,12.1857,29.4,99.2,235.3622,40.14
1171526400,12.1729,29.46,98.92,233.1092,40.06
1171612800,12.1186,28.74,98.99,237.3878,40.33
1171958400,12.2714,28.83,99.35,238.4789,41.51
1172044800,12.7429,29.35,99.09,240.3783,41.26
1172131200,12.7871,29.39,98.5,240.3732,41.0
1172217600,12.7243,28.9,97.73,237.7313,40.78
1172476800,12.6643,29.07,96.91,234.857,40.8799
1172563200,11.99,27.87,93.96,226.6939,38.83
1172649600,12.0871,28.17,92.94,227.0374,39.14
1172736000,12.4371,28.09,92.27,226.4211,38.85
1172822400,12.2014,27.76,90.9,221.597,37.69
1173081600,12.3314,27.5499,91.81,222.7411,37.05
1173168000,12.5986,27.83,93.8,231.129,38.58
1173254400,12.5314,27.61,93.94,230.1642,38.36
1173340800,12.5714,27.32,93.0,229.6995,38.1
1173427200,12.5671,27.28,93.28,228.8104,38.84
1173682800,12.8386,27.44,94.11,229.7146,38.81
1173769200,12.6286,26.72,92.71,223.7943,37.82
1173855600,12.8571,27.4,93.76,226.3049,38.08
1173942000,12.7957,27.28,93.45,225.3906,37.78
1174028400,12.7986,27.33,93.25,222.6931,37.85
1174287600,13.0186,27.83,93.99,225.916,38.45
1174374000,13.0686,27.84,94.5,224.9309,38.58
1174460400,13.41,28.52,95.36,230.6239,39.8
1174546800,13.4229,28.27,95.19,233.3971,39.49
1174633200,13.36,28.02,95.03,233.2911,38.98
1174892400,13.6929,28.22,95.0,234.8924,39.01
1174978800,13.6371,27.72,94.73,234.1953,39.37
1175065200,13.32,27.64,94.26,233.3163,39.34
