ID,Label,Assigned,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
IMG0001,C7,C0,0.19490722230557692,0.08451211739505676,0.058093483522898344,0.019792723476573845,0.15880523848011976,0.16387371710730986,0.050132801225022866,0.1233750513132516,0.07052379729255738,0.07598384788163241
IMG0002,C2,C2,0.03013600752635767,0.07284388325611561,0.2981757578140358,0.05150148383736877,0.12843718001209356,0.05548619793210232,0.1364124400699333,0.060250537202632015,0.0509411278679317,0.11581538448142921
IMG0003,C9,C9,0.019450076164786462,0.016927459501622923,0.025226096321293308,0.06006955217153417,0.18175996716259699,0.07802038705696433,0.053562430186220124,0.12128136492810995,0.13974640856375067,0.30395625794312137
IMG0004,C2,C2,0.15382837217751136,0.022629009635898027,0.6410303430065749,0.017555668575473492,0.020831866874606305,0.018606931184352343,0.038220914549499774,0.016400521907922416,0.05587148038442249,0.015024891703738757
IMG0005,C7,C7,0.04440145577466175,0.02781989374952055,0.03892701984027038,0.04411876181603863,0.11356086187433463,0.060832952631543355,0.032654596240775026,0.4189932509426463,0.024075931175543044,0.1946152759546663
IMG0006,C9,C9,0.010106955985708932,0.03152258662106222,0.05166240889373907,0.021771184616420823,0.24266940821663965,0.023214096781942088,0.0304116688364025,0.19313281496157747,0.06362453442329807,0.3318843406632095
IMG0007,C6,C6,0.011562089022339893,0.018119616106678442,0.03726620652913287,0.006292310794976208,0.027100068278987165,0.020109396846772522,0.8151134355525349,0.009046734916997872,0.03877232011713048,0.016617821834449466
IMG0008,C5,C3,0.05184457242351399,0.020970361090481178,0.03733205920977978,0.5323742532955676,0.031118156878848124,0.12254044053582125,0.030377155026485015,0.05458649867801202,0.060183721003767496,0.058672781857723455
IMG0009,C3,C3,0.07058513585316227,0.1023193154101732,0.06022956849702665,0.1988420697715935,0.0542604867924783,0.13629460337236027,0.01742861860770916,0.17855322464940787,0.05527986003412708,0.1262071170119619
IMG0010,C6,C6,0.06288255069821563,0.0762216525145175,0.15090962495446933,0.039193593902639365,0.03568291295676791,0.07478098420489186,0.4580045388793428,0.024155163286436555,0.05758009228327916,0.020588886319439812
IMG0011,C1,C1,0.03416764063816501,0.4786479602907778,0.04679238755920192,0.04872789739219093,0.052560214087713324,0.104696804374743,0.059518728706725234,0.0635598201429836,0.03754190734488083,0.07378663946261847
IMG0012,C4,C4,0.020474198950529512,0.031177518613181934,0.06170050801483077,0.06790990167267762,0.31187457623941156,0.050708645995915534,0.047241072874823146,0.07976186020297851,0.047443831074789646,0.28170788636086147
IMG0013,C3,C3,0.10295628328004902,0.06858558293781149,0.09185213352836687,0.3784329314005691,0.02545695943033773,0.14666490226045512,0.014821928920536527,0.0829889175316479,0.04896710426234198,0.03927325644788413
IMG0014,C0,C0,0.8884161559933264,0.004840609586774888,0.011409950214003603,0.006810927498911444,0.005903779270699891,0.038202767716381814,0.01214371620078336,0.006597470631779742,0.022494363449201388,0.003180259438137234
IMG0015,C1,C1,0.032053596047150267,0.4564502582148384,0.08777384319981359,0.06306015602773254,0.05527731040740519,0.09323712484942237,0.03120799864938312,0.04071756924033645,0.08631677929039772,0.053905364073520506
IMG0016,C3,C3,0.06855035589772454,0.03936346105229463,0.03241994586666324,0.5505963896441327,0.033007628905185035,0.09687573509172684,0.013246804812521992,0.05548983013679702,0.06053950465618211,0.04991034393677225
IMG0017,C2,C2,0.0946051815096429,0.04677491032733987,0.1805538873520571,0.14188513955686113,0.13027939082718082,0.11705980151985707,0.0789188575112084,0.07671263533974355,0.03662564594518805,0.09658455011092079
IMG0018,C4,C4,0.01917857347632224,0.05231505275504206,0.07533216896563026,0.08322980399751372,0.2681651983626249,0.05603616988885419,0.052235722708222895,0.1310336767584233,0.04236230212908331,0.22011133095828314
IMG0019,C8,C8,0.04718865969602452,0.05022734296840338,0.07058815607985156,0.03266422985108341,0.03277841881453541,0.07479150555479386,0.015179046247060964,0.025799083429156704,0.6022512866114366,0.04853227074765353
IMG0020,C1,C1,0.03352447438527958,0.3673280678622397,0.10687537689306988,0.07435439660585562,0.06759893786637741,0.09907592577220176,0.02272680059884475,0.047449374488214804,0.11392594858889761,0.06714069693901846
